tech,line,node_start,node_end,reactance,resistance,power_ex,power_lim,type,circuits,length,voltage
trans,line01,CCT,CVA,0,0,0,50000,AC_OHL,0,151,0
trans,line02,CCT,FRE,0,0,0,50000,AC_OHL,0,145,0
trans,line03,CCT,NCT,0,0,0,50000,AC_OHL,0,276,0
trans,line04,CVA,FRE,0,0,0,50000,AC_OHL,0,217,0
trans,line05,CVA,NCT,0,0,0,50000,AC_OHL,0,144,0
trans,line06,CVA,NVA,0,0,0,50000,AC_OHL,0,301,0
trans,line08,ECA,LAX,0,0,0,50000,AC_OHL,0,200,0
trans,line09,ELU,LAX,0,0,0,50000,AC_OHL,0,195,0
trans,line11,ELU,SDG,0,0,0,50000,AC_OHL,0,166,0
trans,line14,FRE,LAX,0,0,0,50000,AC_OHL,0,253,0
trans,line20,NVA,PAC,0,0,0,50000,AC_OHL,0,53,0
