tech,location,year,account,EUR,CO2
pv,GER,2015,cap,1.25E+06,2403.509
wind,GER,2015,cap,1.40E+06,551.25
coal,GER,2015,cap,1.75E+06,623.68
oil,GER,2015,cap,4.38E+05,330
gas,GER,2015,cap,3.85E+05,61.67
bat_e,GER,2015,cap,3.10E+05,41458.868
bat_in,GER,2015,cap,1.40E+05,0
bat_out,GER,2015,cap,0,0
h2_e,GER,2015,cap,6.92E+02,0
h2_in,GER,2015,cap,3.70E+06,1.45E+06
h2_out,GER,2015,cap,0,0
trans,GER,2015,cap,882,266.2
pv,GER,2015,fix,2.45E+04,0
wind,GER,2015,fix,4.25E+04,0
coal,GER,2015,fix,5.25E+04,0
oil,GER,2015,fix,1.31E+04,0
gas,GER,2015,fix,7.70E+03,0
bat_e,GER,2015,fix,5.81E+03,0
bat_in,GER,2015,fix,0,0
bat_out,GER,2015,fix,0,0
h2_e,GER,2015,fix,24.2,0
h2_in,GER,2015,fix,1.47E+05,0
h2_out,GER,2015,fix,0,0
trans,GER,2015,fix,0,0
pv,GER,2015,var,0,0
wind,GER,2015,var,0,0
coal,GER,2015,var,10.708,1217.49
oil,GER,2015,var,153.586,874.6
gas,GER,2015,var,86.564,728.71
bat_e,GER,2015,var,0,0
bat_in,GER,2015,var,0,0
bat_out,GER,2015,var,0,0
h2_e,GER,2015,var,0,0
h2_in,GER,2015,var,1.9,0
h2_out,GER,2015,var,0,0
trans,GER,2015,var,0,0
