node,region,infrastruct,lat,lon,|,pv,wind,coal,gas,oil,bat_in,bat_out,bat_e,h2_in,h2_out,h2_e,trans,demand
dena21,GER,ex,54.111000,9.915000,|,1068,3299,470,23,550,0,0,0,0,0,0,0,1
dena22,GER,ex,53.271783,8.349174,|,1513,4442,1631,792,462,0,0,0,0,0,0,0,1
dena23,GER,ex,52.328680,9.884000,|,986,3145,2724,640,354,0,0,0,0,0,0,0,1
dena24,GER,ex,50.805111,9.140000,|,1377,1000,1172,604,82,0,0,0,0,0,0,0,1
dena25,GER,ex,49.766938,10.895500,|,3289,701,42,1509,0,0,0,0,0,0,0,0,1
dena26,GER,ex,48.354556,11.986056,|,3994,49,801,2447,987,0,0,0,0,0,0,0,1
dena41,GER,ex,49.154600,8.856500,|,1289,190,1530,659,75,0,0,0,0,0,0,0,1
dena42,GER,ex,48.265139,8.907583,|,3081,335,1166,505,669,0,0,0,0,0,0,0,1
dena71,GER,ex,52.326444,7.766111,|,1041,1014,794,1960,0,0,0,0,0,0,0,0,1
dena72,GER,ex,51.443701,6.962313,|,1446,543,9963,2875,1918,0,0,0,0,0,0,0,1
dena73,GER,ex,51.717913,8.128870,|,1234,1301,2124,2179,218,0,0,0,0,0,0,0,1
dena74,GER,ex,50.809943,6.999771,|,1062,1304,7847,1571,155,0,0,0,0,0,0,0,1
dena75,GER,ex,49.623314,7.701229,|,1736,1531,3553,2127,168,0,0,0,0,0,0,0,1
dena76,GER,ex,48.191200,10.487400,|,2121,112,0,140,67,0,0,0,0,0,0,0,1
dena81,GER,ex,53.053645,12.818226,|,2655,6757,1469,2468,718,0,0,0,0,0,0,0,1
dena82,GER,ex,53.609000,10.038000,|,247,609,454,146,148,0,0,0,0,0,0,0,1
dena83,GER,ex,51.043231,11.517846,|,1723,2311,998,926,259,0,0,0,0,0,0,0,1
dena84,GER,ex,51.252895,13.421000,|,2450,3184,8289,799,174,0,0,0,0,0,0,0,1
